System_name,DefenceFinder,PADLOC
PDC-M20,,PDC-M20
PDC-M56,,PDC-M56
Butters_gp30_gp31,Butters_gp30_gp31,
PDC-M51,,PDC-M51
HEC-03,HEC-03,HEC-03
PDC-S13,,PDC-S13
PDC-M31,,PDC-M31
PDC-M62,,PDC-M62
PDC-M61,,PDC-M61
PDC-S29,,PDC-S29
PDC-S54,,PDC-S54
PDC-S59,,PDC-S59
PDC-M38,,PDC-M38
PDC-M01,,PDC-M01
PDC-M60,,PDC-M60
PDC-S01,,PDC-S01
PDC-M26,,PDC-M26
PDC-M34,,PDC-M34
PD-T4-7,PD-T4-7,PD-T4-7
PDC-S04,,PDC-S04
PDC-S36,,PDC-S36
PDC-S02,,PDC-S02
PDC-M14,,PDC-M14
PDC-S43,,PDC-S43
PDC-M47,,PDC-M47
Juk,JukAB,Juk
PDC-M69,,PDC-M69
PDC-S11,,PDC-S11
PDC-S08,,PDC-S08
PDC-M04,,PDC-M04
PDC-M19,,PDC-M19
PDC-S07,,PDC-S07
PDC-S18,,PDC-S18
PDC-M16,,PDC-M16
PDC-M41,,PDC-M41
PDC-S51,,PDC-S51
PDC-S44,,PDC-S44
PD-T4-3,PD-T4-3,PD-T4-3
PDC-S72,,PDC-S72
PDC-S34,,PDC-S34
PDC-S10,,PDC-S10
PDC-M35,,PDC-M35
PD-Lambda-2,PD-Lambda-2,PD-Lambda-2
PDC-S20,,PDC-S20
PDC-S49,,PDC-S49
PDC-M07,,PDC-M07
HEC-07,HEC-07,HEC-07
PDC-M66,,PDC-M66
PDC-M09,,PDC-M09
PDC-M27,,PDC-M27
PDC-S66,,PDC-S66
PDC-S05,,PDC-S05
PDC-S57,,PDC-S57
PD-Lambda-1,PD-Lambda-1,PD-Lambda-1
PDC-M68,,PDC-M68
PDC-S71,,PDC-S71
PDC-S03,,PDC-S03
PDC-S61,,PDC-S61
PDC-S69,,PDC-S69
PD-T4-2,PD-T4-2,PD-T4-2
HEC-05,HEC-05,HEC-05
PDC-M29,,PDC-M29
PDC-S32,,PDC-S32
PDC-S22,,PDC-S22
PDC-S65,,PDC-S65
PDC-M65,,PDC-M65
PDC-S53,,PDC-S53
PDC-S33,,PDC-S33
PDC-M05,,PDC-M05
PDC-S12,,PDC-S12
PDC-S17,,PDC-S17
PDC-S06,,PDC-S06
PD-T4-1,PD-T4-1,PD-T4-1
PDC-S24,,PDC-S24
PDC-M15,,PDC-M15
PDC-S41,,PDC-S41
PD-T7-4,PD-T7-4,PD-T7-4
PDC-S27,,PDC-S27
PDC-M48,,PDC-M48
PDC-S31,,PDC-S31
PDC-S56,,PDC-S56
PDC-M24,,PDC-M24
PD-T4-4,PD-T4-4,PD-T4-4
PDC-S09,,PDC-S09
PDC-S73,,PDC-S73
PDC-M18,,PDC-M18
HEC-02,HEC-02,HEC-02
PD-T4-6,PD-T4-6,PD-T4-6
PDC-M21,,PDC-M21
PDC-M44,,PDC-M44
PDC-S40,,PDC-S40
HEC-08,HEC-08,HEC-08
PDC-M12,,PDC-M12
PDC-M25,,PDC-M25
PDC-M72,,PDC-M72
PDC-M70,,PDC-M70
PDC-M54,,PDC-M54
PDC-M37,,PDC-M37
PDC-S38,,PDC-S38
PDC-M08,,PDC-M08
PDC-S42,,PDC-S42
PDC-S52,,PDC-S52
PDC-S62,,PDC-S62
PDC-M02,,PDC-M02
PDC-S14,,PDC-S14
PDC-M23,,PDC-M23
PDC-M50,,PDC-M50
PD-T4-9,PD-T4-9,PD-T4-9
PDC-M57,,PDC-M57
PDC-S35,,PDC-S35
PDC-S68,,PDC-S68
PD-T4-10,PD-T4-10,PD-T4-10
PDC-M49,,PDC-M49
PDC-S67,,PDC-S67
PDC-M71,,PDC-M71
PDC-M46,,PDC-M46
PDC-M55,,PDC-M55
PDC-S16,,PDC-S16
PDC-M03,,PDC-M03
HEC-09,HEC-09,HEC-09
PDC-M53,,PDC-M53
PDC-S30,,PDC-S30
PDC-M13,,PDC-M13
PDC-S48,,PDC-S48
PDC-S37,,PDC-S37
VSPR,,VSPR
PDC-S23,,PDC-S23
PDC-S70,,PDC-S70
PDC-S39,,PDC-S39
PD-T4-5,PD-T4-5,PD-T4-5
PDC-M52,,PDC-M52
PDC-M64,,PDC-M64
PDC-S58,,PDC-S58
HEC-01,HEC-01,HEC-01
PDC-S28,,PDC-S28
PDC-S26,,PDC-S26
PDC-S19,,PDC-S19
PDC-S15,,PDC-S15
PDC-S64,,PDC-S64
PDC-M45,,PDC-M45
PDC-S46,,PDC-S46
PDC-M28,,PDC-M28
PDC-M32,,PDC-M32
PD-T7-3,PD-T7-3,PD-T7-3
PDC-M63,,PDC-M63
PDC-S60,,PDC-S60
PDC-M11,,PDC-M11
mads,MADS,mads
PDC-M36,,PDC-M36
PDC-M30,,PDC-M30
PDC-S55,,PDC-S55
PDC-S21,,PDC-S21
HEC-04,HEC-04,HEC-04
HEC-06,HEC-06,HEC-06
PDC-S47,,PDC-S47
PDC-S50,,PDC-S50
PDC-M06,,PDC-M06
SoFic,SoFIC,SoFic
DdmDE,DdmDE,DdmDE
PDC-M22,,PDC-M22
PDC-S45,,PDC-S45
PD-Lambda-5,PD-Lambda-5,PD-Lambda-5
PDC-M33,,PDC-M33
PDC-S25,,PDC-S25
PDC-S63,,PDC-S63
PDC-M43,,PDC-M43
skip,,DMS/GAO
Cas,Cas,cas
RM,RM,RM
CBASS,CBASS,cbass
AbiE,AbiE,AbiE
DISARM,DISARM,disarm
Kiwa,Kiwa,kiwa
AVAST,Avs,AVAST
ShosTA,ShosTA,ShosTA
Borvo,Borvo,Borvo
Gabija,Gabija,gabija
Stk2,Stk2,Stk2
Mokosh,Mokosh,Mokosh
Shedu,Shedu,shedu
Bunzi,Bunzi,Bunzi
Wadjet,Wadjet,wadjet
Druantia,Druantia,druantia
Zorya,Zorya,zorya
Lamassu,Lamassu-Fam,Lamassu
AbiH,AbiH,AbiH
SEFIR,SEFIR,SEFIR
Hachiman,Hachiman,hachiman
Retron,Retron,retron
BREX,BREX,brex
Tmn,Gao_Tmn,tmn
Viperin,Viperin,viperin
DRT,DRT,DRT
Mza,Gao_Mza,mza
Thoeris,Thoeris,thoeris
ISG15-like,ISG15-like,ISG15-like
PrrC,PrrC,PrrC
PARIS,Paris,Paris
BstA,BstA,BstA
Shango,Shango,Shango
RosmerTA,RosmerTA,RosmerTA
Septu,Septu,septu
Qat,Gao_Qat,qatABCD
Ppl,Gao_Ppl,ppl
Ape,Gao_Ape,ApeA
Olokun,Olokun,Olokun
PsyrTA,PsyrTA,PsyrTA
Tiamat,Tiamat,Tiamat
Dodola,Dodola,Dodola
GasderMIN,GasderMIN,gasdermin
Lit,Lit,Lit
Iet,Gao_Iet,ietAS
Menshen,Menshen,Menshen
Azaca,Azaca,Azaca
Hhe,Gao_Hhe,hhe
Uzume,Uzume,Uzume
DarTG,DarTG,darTG
Dynamins,,Dynamins
TerY,Gao_TerY,TerY-P
DUF4238,Rst_DUF4238,DUF4238
Helicase-DUF2290,Rst_HelicaseDUF2290,Helicase-DUF2290
TIR-NLR,Rst_TIR-NLR,TIR-NLR
Aditi,Aditi,Aditi
RADAR,RADAR,RADAR
Dazbog,Dazbog,Dazbog
Upx,Gao_Upx,upx
Hydrolase-TM,Rst_Hydrolase-3Tm,Hydrolase-TM
Pif,Pif,PifA
3HP,Rst_3HP,3HP
Argonaute,pAgo,argonaute
Pycsar,Pycsar,pycsar
hma,Hma,hma
Dpd,Dpd,Dpd
RexAB,RexAB,RexAB
spbK,SpbK,spbK
AbiJ,AbiJ,AbiJ
AbiZ,AbiZ,AbiZ
AbiG,AbiG,AbiG
AbiQ,AbiQ,AbiQ
AbiL,AbiL,AbiL
AbiV,AbiV,AbiV
AbiT,AbiT,AbiT
AbiI,AbiI,AbiI
AbiN,AbiN,AbiN
Old,Old_exonuclease,Old
AbiU,AbiU,AbiU
Her,Gao_Her,
RL,Gao_RL,
gop,Rst_gop_beta_cll,gop
NixI,NixI,
Tin,,Tin
Mok_Hok_Sok,Mok_Hok_Sok,
Eleos,Eleos,
Hna,Hna,
PD-T4-8,PD-T4-8,
Phrann_gp29_gp30,Phrann_gp29_gp30,
GAPS1,GAPS1,
PD-T7-2,PD-T7-2,
MazEF,MazEF,
AbiP2,AbiP2,
PfiAT,PfiAT,
PD-T7-5,PD-T7-5,
PD-Lambda-6,PD-Lambda-6,PD-Lambda-6
RnlAB,RnlAB,
CARD_NLR,CARD_NLR,
GAPS6,GAPS6,
SanaTA,SanaTA,
Panchino_gp28,Panchino_gp28,
CapRel,CapRel,
Detocs,Detocs,
FS_GIY_YIG,FS_GIY_YIG,
MqsRAC,MqsRAC,
NLR,NLR,
Charlie_gp32,Charlie_gp32,
AbiR,AbiR,
FS_HP,FS_HP,
GAPS2,GAPS2,
RloC,RloC,
AbiC,AbiC,AbiC
Butters_gp57r,Butters_gp57r,
PD-T7-1,PD-T7-1,
GAPS4,GAPS4,
dGTPase,dGTPase,dXTPase
dCTPdeaminase,dCTPdeaminase,
PT,Dnd,PT
PT,SspBCDE,PT
AbiO-Nhi,,AbiO-Nhi
AbiO,AbiO,
Nhi,Nhi,
Dsr,,dsr1
Dsr,,dsr2
Dsr,Dsr,
PD-T7-1or5,,PD-T7-1or5
PD-T7-1,PD-T7-1,
PD-T7-5,PD-T7-5,
AbiB,AbiB,AbiB
PD-Lambda-4,PD-Lambda-4,PD-Lambda-4
PD-Lambda-3,PD-Lambda-3,PD-Lambda-3
AbiP,,AbiP
PDC-M17,,PDC-M17
2TM-1TM-TIR,,2TM-1TM-TIR
PDC-M59,,PDC-M59
PDC-M67,,PDC-M67
PDC-M10,,PDC-M10
PDC-M39,,PDC-M39
PDC-M58,,PDC-M58
PDC-M42,,PDC-M42
PDC-M40,,PDC-M40
AbiD,AbiD,AbiD
Abi2,Abi2,
DS-41,DS-41,
Epona,Epona,
TIR-VIII,TIR-VIII,
VP1796,VP1796,
gcu233,gcu233,
Prithvi,Prithvi,
Ceres,Ceres,
gcu142,gcu142,
Veles,Veles,
Anti_DSR,Anti_DSR,
gcu167,gcu167,
DS-34,DS-34,
Anti_Thoeris,Anti_Thoeris,
Belisama,Belisama,
Ukko,Ukko,
FS_Sma,FS_Sma,
Lugos,Lugos,
DS-43,DS-43,
DS-7,DS-7,
DS-24,DS-24,
DS-1,DS-1,
Tha,Tha,
DS-9,DS-9,
DS-20,DS-20,
MMB_gp29_gp30,MMB_gp29_gp30,
Hma,Hma,
Cernunnos,Cernunnos,
Other,Other,
TIR-VII,TIR-VII,
Damona,Damona,
DS-6,DS-6,
DS-38,DS-38,
Rst_2TM_1TM_TIR,Rst_2TM_1TM_TIR,
DS-32,DS-32,
DS-44,DS-44,
Taranis,Taranis,
All_UG,All_UG,
DS-5,DS-5,
gcu76,gcu76,
DS-15,DS-15,
VP1848,VP1848,
DS-13,DS-13,
DS-2,DS-2,
AbiA,AbiA,
Sucellos,Sucellos,
DS-18,DS-18,
Sirona,Sirona,
Anti_Retron,Anti_Retron,
DS-22,DS-22,
NADP,NADP,
VP1851,VP1851,
Anti_Dnd,Anti_Dnd,
VP1817,VP1817,
Anti_RM,Anti_RM,
AbiAlpha,AbiAlpha,
Nemetona,Nemetona,
Erebus,Erebus,
VP1853,VP1853,
CoCoNut,CoCoNut,
DS-40,DS-40,
DS-8,DS-8,
DS-42,DS-42,
DS-39,DS-39,
DS-14,DS-14,
DS-29,DS-29,
DS-45,DS-45,
Nantosuelta,Nantosuelta,
TgvAB,TgvAB,
DS-35,DS-35,
DS-27,DS-27,
Belenos,Belenos,
SDIC3,SDIC3,
DS-11,DS-11,
DS-10,DS-10,
VP1826,VP1826,
TIR-III,TIR-III,
Prometheus,Prometheus,
DS-17,DS-17,
Oshun,Oshun,
Geb,Geb,
DS-3,DS-3,
MADS3-4,MADS3-4,
DS-23,DS-23,
Anti_RecBCD,Anti_RecBCD,
SDIC4,SDIC4,
Anti_TA,Anti_TA,
FS_HP_SDH_sah,FS_HP_SDH_sah,
gcu24,gcu24,
Rst_RT-nitrilase-Tm,Rst_RT-nitrilase-Tm,
Esos,Esos,
Lanthiphage,Lanthiphage,
VP1840,VP1840,
TIR-I,TIR-I,
DS-19,DS-19,
Anti_CBASS,Anti_CBASS,
Hypnos,Hypnos,
DS-4,DS-4,
Toutatis,Toutatis,
Anti_Pycsar,Anti_Pycsar,
SDIC1,SDIC1,
gcuWGS21,gcuWGS21,
DS-16,DS-16,
FS_HsdR_like,FS_HsdR_like,
6A_MBL,6A_MBL,
DS-37,DS-37,
AbiK,AbiK,
DS-36,DS-36,
AspAB,AspAB,
DS-12B,DS-12B,
Anti_CRISPR,Anti_CRISPR,
TIR-IV,TIR-IV,
VP1839,VP1839,
DS-31,DS-31,
VP1823,VP1823,
DS-28,DS-28,
Ogmios,Ogmios,
DS-33,DS-33,
Anti_Gabija,Anti_Gabija,
Divona,Divona,
